Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
1,Ed Sheeran - Shape of You,160,34.0,1,(x14),64217796,2397753371
2,Post Malone - rockstar,124,27.0,1,(x17),46995997,1797570391
3,The Chainsmokers - Closer,168,28.0,1,(x11),46300740,1628344338
4,Drake - One Dance,129,26.0,1,(x14),47782311,1555622901
5,Drake - God's Plan,97,21.0,1,(x11),54891573,1414559787
6,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,67,31.0,1,(x2),34579416,1309011864
7,Ed Sheeran - Perfect,151,15.0,4,,24763619,1308547205
8,Camila Cabello - Havana,114,25.0,1,(x1),33129706,1305095150
9,James Arthur - Say You Won't Let Go,174,15.0,7,,19297939,1295463634
10,Imagine Dragons - Believer,156,,16,,16864827,1254089676
11,Ed Sheeran - Thinking out Loud,235,22.0,1,(x2),12966533,1230229886
12,Shawn Mendes - Señorita,32,23.0,1,(x14),67237638,1185043099
13,XXXTENTACION - SAD!,100,12.0,1,(x2),38010231,1180380274
14,Imagine Dragons - Thunder,138,3.0,8,,21076623,1178953419
15,Dua Lipa - New Rules,104,23.0,2,(x3),26215788,1159764804
16,Ed Sheeran - Photograph,250,,15,,8088843,1158961724
17,Billie Eilish - bad guy,44,24.0,1,(x6),50342324,1147479900
18,Post Malone - Better Now,92,11.0,1,(x6),40788286,1128205041
19,The Chainsmokers - Something Just Like This,130,12.0,2,(x2),33173199,1117180229
20,Luis Fonsi - Despacito - Remix,64,19.0,1,(x14),54729818,1092396262
21,Marshmello - Happier,76,22.0,2,(x1),28685390,1087133734
22,Juice WRLD - Lucid Dreams,90,15.0,3,(x1),27389019,1082304140
23,Lil Uzi Vert - XO TOUR Llif3,111,2.0,10,,19373632,1030645895
24,Ariana Grande - 7 rings,54,16.0,1,(x10),71467874,1023586758
25,Maroon 5 - Girls Like You,87,14.0,2,(x1),29296811,1022693132
26,Lady Gaga - Shallow,70,12.0,3,(x2),31597226,1003988836
27,"Ariana Grande - thank u, next",65,17.0,1,(x8),59975503,1003590826
28,Tones and I - Dance Monkey,28,22.0,1,(x15),52055226,997113131
29,Post Malone - Congratulations,128,,20,,15632229,990710095
30,XXXTENTACION - Jocelyn Flores,126,2.0,7,,25442646,985805325
31,Kendrick Lamar - HUMBLE.,95,12.0,1,(x1),41269524,985684392
32,Justin Bieber - Love Yourself,108,22.0,1,(x3),28218558,967608716
33,The Weeknd - Starboy,84,21.0,1,(x6),35360281,952641510
34,Justin Bieber - Sorry,92,21.0,1,(x8),34283993,945730140
35,The Chainsmokers - Don't Let Me Down,93,22.0,3,(x2),20867984,937382310
36,Lewis Capaldi - Someone You Loved,56,15.0,4,,24962682,931999539
37,Travis Scott - SICKO MODE,78,20.0,2,(x1),33399542,929023880
38,Halsey - Without Me,69,16.0,4,,27576694,920940852
39,Major Lazer - Lean On,120,33.0,1,(x10),18924031,916566107
40,Post Malone - Psycho,80,14.0,2,(x6),45142484,911952857
41,Cardi B - I Like It,74,14.0,2,(x1),27369377,908062879
42,benny blanco - Eastside,80,11.0,4,,24227312,903937227
43,DJ Snake - Taki Taki,62,18.0,1,(x4),40931264,896064520
44,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,99,22.0,2,(x3),23018299,891175647
45,Lauv - I Like Me Better,137,,29,,12704967,885636335
46,Ed Sheeran - I Don't Care,38,17.0,1,(x6),58370367,881983175
47,XXXTENTACION - Moonlight,97,2.0,2,(x1),27497557,875184933
48,French Montana - Unforgettable,78,15.0,3,(x1),25652839,873238651
49,Lil Nas X - Old Town Road - Remix,43,19.0,2,(x4),36616698,869291226
50,DJ Snake - Let Me Love You,67,22.0,2,(x1),32792765,856986795
51,5 Seconds of Summer - Youngblood,93,1.0,8,,22841733,856788314
52,Calvin Harris - One Kiss,72,14.0,2,(x4),30380257,851174897
53,Drake - In My Feelings,52,15.0,1,(x8),67499798,850630308
54,Billie Eilish - lovely,93,,24,,14081242,827973880
55,Post Malone - Wow.,58,14.0,2,(x1),31165644,826503229
56,Major Lazer - Cold Water,60,17.0,1,(x5),39612302,815313617
57,Ava Max - Sweet but Psycho,70,7.0,6,,22400542,813105691
58,Luis Fonsi - Despacito (Featuring Daddy Yankee),62,15.0,4,,27082220,802424995
59,Sia - Cheap Thrills,83,18.0,3,(x1),22704478,771328890
60,Sam Smith - Too Good At Goodbyes,107,6.0,3,(x2),28527847,770308018
61,Justin Bieber - What Do You Mean?,76,24.0,1,(x8),29264063,767171936
62,Dua Lipa - IDGAF,78,12.0,4,,23715748,765728252
63,Daddy Yankee - Con Calma,53,15.0,2,(x3),31111446,749335203
64,Panic! At The Disco - High Hopes,83,1.0,9,,19643546,748819111
65,Post Malone - I Fall Apart,86,1.0,10,,17129238,745665805
66,Zedd - The Middle,82,7.0,6,,22125746,741276314
67,Bruno Mars - That's What I Like,85,9.0,6,,23602385,733976807
68,Billie Eilish - when the party's over,67,1.0,9,,22448428,729882923
69,Twenty One Pilots - Stressed Out,108,12.0,6,,18271666,723053286
70,DJ Khaled - I'm the One,51,16.0,2,(x7),40519723,720238325
71,Shawn Mendes - Treat You Better,82,13.0,5,,20386073,717975045
72,Marshmello - FRIENDS,67,13.0,4,,25664581,714909410
73,Calvin Harris - This Is What You Came For,64,18.0,2,(x11),26378633,710707296
74,"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,14.0,3,(x6),24236034,707632576
75,J Balvin - Mi Gente,57,15.0,1,(x4),32361062,706648562
76,Alan Walker - Faded,91,15.0,7,,17656352,705007917
77,John Legend - All of Me,202,15.0,3,(x2),6405273,701024081
78,Charlie Puth - Attention,60,13.0,5,,22888447,700064945
79,Fifth Harmony - Work from Home,74,20.0,2,(x3),22851136,698301324
80,Dean Lewis - Be Alright,79,,12,,17708246,693098702
81,Lukas Graham - 7 Years,86,14.0,2,(x1),21578772,691799286
82,Tyga - Taste,67,4.0,6,,24591233,690276332
83,Travis Scott - goosebumps,129,,60,,7396104,690163526
84,Bebe Rexha - Meant to Be,87,,18,,14838238,688386937
85,Bad Bunny - MIA,51,14.0,1,(x1),39639615,688289134
86,Pedro Capó - Calma - Remix,61,9.0,5,,23772814,687647813
87,Ariana Grande - no tears left to cry,61,8.0,2,(x1),38925971,685597568
88,ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),68,14.0,2,(x2),30694422,682354310
89,Marshmello - Silence,71,8.0,8,,20339368,681892436
90,Dynoro - In My Mind,66,10.0,6,,22288306,676704919
91,Clean Bandit - Rockabye,65,14.0,3,(x3),22798862,674373152
92,Queen - Bohemian Rhapsody - Remastered 2011,86,,11,,18440196,671225259
93,Adele - Hello,73,15.0,1,(x3),44785665,668589866
94,Kygo - It Ain't Me,55,14.0,2,(x2),31981993,668193646
95,Rihanna - Work,60,15.0,1,(x9),33662868,652396816
96,Maroon 5 - What Lovers Do,68,10.0,5,,23951075,651050835
97,Anne-Marie - 2002,87,,27,,13698716,644432285
98,Shawn Mendes - Stitches,100,20.0,5,,15301964,643947324
99,Danny Ocean - Me Rehúso,69,,20,,13515074,640056355
100,Jonas Brothers - Sucker,48,11.0,2,(x2),34629196,638340281
101,The Weeknd - Can't Feel My Face,83,29.0,1,(x1),19390352,636191997
102,Post Malone - Circles,22,18.0,1,(x1),43379405,632874874
103,Logic - 1-800-273-8255,62,9.0,5,,23662238,629521089
104,Twenty One Pilots - Heathens,61,13.0,4,,26546200,629357576
105,Charlie Puth - We Don't Talk Anymore,97,1.0,9,,18248508,624294216
106,Desiigner - Panda,72,13.0,3,(x1),24034197,618141508
107,Ed Sheeran - Beautiful People,31,16.0,3,(x3),36721702,615637506
108,Major Lazer - Light It Up,73,,11,,15684172,604569611
109,Khalid - Better,64,2.0,7,,21831365,601815595
110,Sam Smith - Dancing With A Stranger,55,10.0,7,,23144963,597967385
111,Shawn Mendes - There's Nothing Holdin' Me Back,58,5.0,5,,22413521,596905132
112,Drake - Hotline Bling,80,19.0,2,(x1),20870154,596313469
113,Drake - Nice For What,42,11.0,1,(x2),41781391,594741215
114,Khalid - Young Dumb & Broke,76,,12,,15871063,594366159
115,Mark Ronson - Uptown Funk,103,23.0,1,(x8),15350322,586491435
116,Zedd - Stay,55,11.0,7,,23118329,586299104
117,Selena Gomez - Wolves,57,14.0,3,(x1),24355051,586228775
118,Future - Mask Off,58,9.0,5,,25847893,582487201
119,Martin Garrix - In the Name of Love,59,10.0,6,,21797864,581181619
120,Nio Garcia - Te Boté - Remix,53,2.0,8,,19829896,580565818
121,The Weeknd - I Feel It Coming,62,8.0,4,,22658206,579239741
122,Billie Eilish - bury a friend,53,7.0,2,(x1),35408536,578677174
123,Sam Smith - Stay With Me,145,26.0,2,(x4),8537137,578380137
124,"G-Eazy - Me, Myself & I",70,14.0,4,,17839641,564775200
125,Clean Bandit - Symphony,60,,11,,21433880,561744393
126,Jason Derulo - Swalla,54,6.0,6,,21809411,560860745
127,BlocBoy JB - Look Alive,57,6.0,6,,22486856,557605940
128,Zara Larsson - Lush Life,93,,15,,12272269,551641716
129,Post Malone - Goodbyes (Feat. Young Thug),30,13.0,2,(x1),37067320,548686691
130,DNCE - Cake By The Ocean,82,,12,,15222959,547344387
131,Clean Bandit - Solo,49,7.0,8,,24095921,546828888
132,Hozier - Take Me To Church,113,20.0,1,(x5),13212580,543835168
133,Drake - Too Good,48,18.0,5,,19402522,542497343
134,Anuel Aa - China,28,12.0,2,(x4),33436706,542235787
135,Ed Sheeran - Galway Girl,58,5.0,2,(x1),31063488,542207088
136,Hailee Steinfeld - Starving,66,,12,,16495002,539154382
137,The Weeknd - The Hills,92,11.0,3,(x1),14363491,537464309
138,Ariana Grande - Side To Side,59,10.0,6,,20877291,537400584
139,Twenty One Pilots - Ride,79,1.0,10,,15813811,537094400
140,Khalid - Location,79,,34,,11072906,536818581
141,Mariah Carey - All I Want for Christmas Is You,41,13.0,1,(x1),45828931,533846609
142,Julia Michaels - Issues,65,1.0,9,,18886951,533154479
143,The Chainsmokers - Paris,48,12.0,2,(x3),28872070,531337298
144,Ed Sheeran - Castle on the Hill,56,9.0,2,(x2),35059860,529615023
145,Bruno Mars - 24K Magic,62,6.0,6,,20739017,527459491
146,Calvin Harris - Promises,52,8.0,5,,23666223,525181112
147,Jack Ü - Where Are Ü Now,81,23.0,3,(x1),11738161,524252721
148,Bad Bunny - Callaita,35,8.0,7,,22380052,520703185
149,Lil Tecca - Ransom,35,10.0,3,(x2),27574962,519791949
150,Axwell /\ Ingrosso - More Than You Know,62,,15,,16550135,517548978
151,Meek Mill - Going Bad,55,,11,,17883199,517504956
152,Demi Lovato - Sorry Not Sorry,56,3.0,7,,19545702,517161784
153,Sia - Chandelier,128,23.0,3,(x3),8493093,516437237
154,XXXTENTACION - Fuck Love,80,,19,,16680157,511902114
155,DJ Khaled - Wild Thoughts,40,12.0,2,(x4),31981224,506184874
156,Lil Nas X - Old Town Road,40,10.0,3,(x2),30103989,504284723
157,Kendrick Lamar - All The Stars,44,7.0,2,(x2),31352011,503976206
158,Portugal. The Man - Feel It Still,64,,18,,14096574,503935939
159,XXXTENTACION - changes,65,1.0,9,,23766098,503161335
160,Loud Luxury - Body,64,,19,,16136787,502428465
161,Jonas Blue - Fast Car,62,4.0,10,,16501675,502209439
162,Liam Payne - Strip That Down,47,7.0,9,,20399177,501969151
163,J. Cole - MIDDLE CHILD,53,2.0,2,(x1),33187464,500993131
164,NF - Let You Down,46,10.0,9,,19989871,497222105
165,ZAYN - Dusk Till Dawn,41,11.0,4,,22579858,494566732
166,ZAYN - PILLOWTALK,59,13.0,1,(x2),27477356,493993282
167,Rudimental - These Days,51,1.0,9,,19683315,493838843
168,Martin Garrix - Scared to Be Lonely,55,4.0,5,,22668956,493661628
169,Drake - Passionfruit,56,6.0,2,(x2),32507239,492003941
170,Maroon 5 - Memories,19,15.0,2,(x1),31572344,487833652
171,Wiz Khalifa - See You Again,83,18.0,1,(x6),21852951,484510893
172,The Chainsmokers - Roses,69,6.0,7,,14398355,484221245
173,Nicky Jam - X,34,10.0,4,,25335647,483456853
174,Khalid - Love Lies,49,,11,,20042219,483126319
175,"gnash - i hate u, i love u",57,,13,,13840077,482561714
176,Ed Sheeran - Happier,91,1.0,10,,23545568,476467704
177,Drake - Fake Love,48,10.0,7,,18569220,476434708
178,Kodak Black - ZEZE,39,8.0,3,(x1),29095302,475296500
179,Lizzo - Truth Hurts,40,,16,,16286337,470214253
180,Bazzi - Mine,48,6.0,3,(x1),23681960,468993923
181,Offset - Ric Flair Drip (& Metro Boomin),67,,32,,10965630,468474147
182,Starley - Call On Me - Ryan Riback Extended Remix,47,,13,,16885441,465738653
183,Maluma - Felices los 4,47,,17,,17123191,462895074
184,Calvin Harris - Feels,38,11.0,5,,23208440,462099346
185,Robin Schulz - Sugar,69,6.0,9,,10750515,461767760
186,Y2K - Lalala,32,5.0,4,,23833624,461499318
187,Maroon 5 - Sugar,93,11.0,2,(x1),13080140,455952316
188,Luis Fonsi - Échame La Culpa,40,8.0,7,,19056515,455074445
189,Jonas Blue - Mama,45,,11,,18912803,451206321
190,Maroon 5 - Don't Wanna Know,40,13.0,4,,21063863,450707447
191,Rihanna - Needed Me,58,,14,,13619575,450689857
192,Drake - Nonstop,43,2.0,1,(x1),43697135,448969830
193,Lil Baby - Drip Too Hard (Lil Baby & Gunna),49,,13,,16365307,448909392
194,Sam Smith - How Do You Sleep?,28,6.0,7,,22140829,447532822
195,Clean Bandit - Rather Be,121,17.0,1,(x7),8491112,446561447
196,MEDUZA - Piece Of Your Heart,42,,14,,16900857,444867481
197,Shawn Mendes - If I Can't Have You,38,7.0,4,,28103423,443918111
198,21 Savage - Bank Account,52,,22,,14030108,442378554
199,DJ Snake - Middle,64,,16,,14182166,441638949
200,Paulo Londra - Adan y Eva,41,,11,,17547601,441536836
201,"Ariana Grande - break up with your girlfriend, i'm bored",33,7.0,2,(x3),54707620,439898870
202,Jonas Blue - Perfect Strangers,58,,12,,17072020,436465982
203,Childish Gambino - Redbone,76,,35,,11798468,434702997
204,Sheck Wes - Mo Bamba,42,,11,,17459536,434608965
205,Hailee Steinfeld - Let Me Go,47,,16,,14630730,431998109
206,Calvin Harris - How Deep Is Your Love,64,14.0,3,(x2),13109875,430830938
207,Jonas Blue - Rise,46,,12,,20761497,430111732
208,OneRepublic - Counting Stars,151,24.0,3,(x5),5067704,429434298
209,Avicii - Wake Me Up,123,13.0,3,(x2),20549219,427683916
210,David Guetta - 2U,32,11.0,3,(x2),30303727,426973384
211,Mabel - Don't Call Me Up,43,,11,,17704582,425321887
212,Shakira - Chantaje,50,,13,,16232454,422780513
213,Alec Benjamin - Let Me Down Slowly,58,,27,,14487348,421467969
214,Travis Scott - BUTTERFLY EFFECT,67,,38,,12187233,414133747
215,Selena Gomez - Back To You,42,3.0,4,,24186683,414002136
216,Passenger - Let Her Go,163,,13,,3944815,413935898
217,Jhay Cortez - No Me Conoce - Remix,36,,20,,14989110,413705986
218,Fetty Wap - Trap Queen,83,12.0,7,,10544238,411877093
219,DJ Snake - Loco Contigo,33,1.0,10,,20067945,411744391
220,Ellie Goulding - Love Me Like You Do,75,15.0,3,(x4),19080054,411454169
221,Shawn Mendes - Mercy,59,,19,,13031872,411232555
222,Khalid - Talk,41,1.0,10,,18389998,410363188
223,Ozuna - Vaina Loca,40,,18,,16043684,406926662
224,Calvin Harris - Slide,36,,13,,18367402,406830519
225,6ix9ine - FEFE,30,7.0,2,(x1),31741382,403770867
226,Migos - Bad and Boujee,57,1.0,9,,18866776,403195155
227,Rae Sremmurd - Black Beatles,44,8.0,1,(x2),32026901,400833823
228,Arizona Zervas - ROXANNE,14,12.0,2,(x5),34104838,399806642
229,Drake - Money In The Grave (Drake ft. Rick Ross),33,4.0,5,,25117868,395700811
230,J Balvin - LA CANCIÓN,31,,17,,15922336,395151073
231,Tiësto - Jackie Chan,37,,11,,21601280,394343157
232,Lunay - Soltera - Remix,34,4.0,8,,19467987,392969302
233,Kygo - Firestone,85,8.0,4,,8534894,392362160
234,ROSALÍA - Con Altura,44,,30,,12456504,391644535
235,Eminem - Lose Yourself,160,,133,,4391774,391151029
236,Oasis - Wonderwall - Remastered,95,,152,,4687079,390969325
237,Ariana Grande - Into You,50,,14,,15071769,387315052
238,Post Malone - White Iverson,107,,38,,6058616,387186554
239,Natti Natasha - Criminal,46,,21,,12517942,386987487
240,Calvin Harris - My Way,40,4.0,8,,19655559,386403463
241,Lauv - i'm so tired...,42,,18,,15889051,385934789
242,Wham! - Last Christmas,38,6.0,2,(x1),37725693,385261527
243,Jason Derulo - Want to Want Me,73,14.0,2,(x1),13288062,384383171
244,Imagine Dragons - Natural,47,,19,,14639164,383817764
245,OMI - Cheerleader (Felix Jaehn Remix),46,30.0,2,(x3),13557794,381226227
246,Lil Nas X - Panini,31,3.0,7,,24238981,380161911
247,Zara Larsson - Never Forget You,56,,21,,10871263,378601678
248,Ariana Grande - God is a woman,33,5.0,2,(x1),29847494,378538738
249,XXXTENTACION - Look At Me!,75,,39,,11076255,376574941
250,Sech - Otro Trago,28,8.0,4,,25377792,375834575
251,Galantis - No Money,42,4.0,9,,17305382,375672373
252,Shawn Mendes - In My Blood,51,1.0,7,,21904395,374529988
253,Imagine Dragons - Radioactive,158,,15,,3353347,374359494
254,Cheat Codes - Sex,47,,11,,16271653,372780908
255,Travis Scott - HIGHEST IN THE ROOM,17,7.0,1,(x1),48161108,371991024
256,Wisin - Escápate Conmigo,50,,38,,10495140,371029141
257,Post Malone - Candy Paint,51,,17,,17508038,370420835
258,Mike Perry - The Ocean,41,,11,,14759290,369186755
259,Zion & Lennox - Otra vez,65,,42,,7496050,368400468
260,Dennis Lloyd - Nevermind,36,,18,,15423526,367966603
261,Lil Wayne - Sucker For Pain,49,2.0,10,,18557325,365530773
262,KYLE - iSpy,48,,21,,14064647,365023274
263,Queen - Don't Stop Me Now - Remastered,59,,51,,9119911,362890647
264,Vance Joy - Riptide,131,,16,,5217839,361078615
265,Lil Pump - Gucci Gang,32,7.0,6,,23269004,360034188
266,Eminem - River,28,9.0,2,(x1),29880509,359923402
267,Queen - Another One Bites The Dust - Remastered 2011,58,,36,,11262150,359609320
268,Chris Brown - No Guidance,34,,11,,18038661,358974942
269,Drake - Jumpman,72,,15,,8120994,358790474
270,DRAM - Broccoli,57,,27,,10613142,358518138
271,Kendrick Lamar - DNA.,46,2.0,3,(x1),30933703,357502939
272,Avicii - SOS,28,7.0,4,,28587934,357373179
273,Camila Cabello - Never Be the Same,38,4.0,4,,22147865,355510422
274,Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,43,,23,,14719156,354135942
275,Martin Jensen - Solo Dance,50,,25,,12133568,353947787
276,Anuel Aa - Secreto,31,,11,,20003882,353903896
277,A Boogie Wit da Hoodie - Swervin,46,,25,,14029976,353278785
278,Drake - Controlla,47,,22,,11928894,352654366
279,blackbear - hot girl bummer,23,3.0,9,,20814917,351653373
280,Becky G - Sin Pijama,38,,22,,15017587,351433215
281,Cardi B - Bodak Yellow,46,,21,,14718755,348985917
282,Jessie J - Bang Bang,95,12.0,4,,7863797,347170148
283,Flo Rida - My House,58,,14,,12794270,346321502
284,Imagine Dragons - Demons,141,6.0,8,,4612466,343863791
285,Ellie Goulding - Close To Me,43,,19,,13523043,342384804
286,Ali Gatie - It's You,33,,27,,13084417,342177032
287,Kygo - Stole the Show,68,11.0,4,,11026528,339965022
288,Dua Lipa - Don't Start Now,13,12.0,5,,29149812,339548188
289,Kygo - Stay,47,3.0,8,,11818636,337988679
290,Reik - Me Niego,37,,22,,13488299,337326802
291,Katy Perry - Dark Horse,114,19.0,1,(x5),7952065,336026946
292,Kendrick Lamar - LOVE. FEAT. ZACARI.,54,,14,,18211340,335689099
293,Selena Gomez - Lose You To Love Me,15,5.0,1,(x1),47227738,335330042
294,Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),44,3.0,3,(x1),26494583,335158647
295,Young Thug - The London,34,2.0,6,,22075360,334760238
296,Avicii - Lonely Together,39,,19,,13456689,334425361
297,Avicii - Without You,45,,20,,17362815,333726650
298,XXXTENTACION - Everybody Dies In Their Nightmares,59,,24,,14237794,333503446
