Video,Views,Current avg/day
Usher - DJ Got Us Fallin' In Love (Official Music Video) ft. Pitbull,268817917,68574
We Are The World 25 For Haiti - Official Video,266831276,76907
Lil Wayne - Drop The World (Official Music Video) ft. Eminem,262717927,27954
Chris Brown - Yeah 3x (Official Music Video),262303555,42328
Aventura - El Malo,258863857,67338
Maná - Mariposa traicionera (Video),257001568,101068
Selena Gomez & The Scene - A Year Without Rain,245272906,20665
Katy Perry - Teenage Dream (Official),241943425,36871
Pitbull - Hey Baby (Drop It To The Floor) ft. T-Pain,240872231,791
Ne-Yo - One In A Million (Official Music Video),239846267,59488
Gigi D'Agostino - L'Amour Toujours ( Official Video ),230150553,186160
Deixa Acontecer / Coração Radiante / Compasso Do Amor,225125535,141298
Wisin & Yandel - Te Siento,224864122,38118
Skillet - Hero (Official Video),223340177,116460
Tinie Tempah - Written In The Stars ft. Eric Turner,222083115,56233
Goo Goo Dolls - Iris [Official Music Video],219450652,138106
David Guetta & Chris Willis Feat. Fergie & LMFAO - Gettin' Over You (Official Video),215320000,62509
OneRepublic - Secrets (Official Music Video),213465349,40011
Crazy Frog - Last Christmas (Official Video),211832507,35111
"Far East Movement ft. The Cataracs, DEV - Like A G6 (Official Video)",208645046,36349
P!nk - Raise Your Glass,203559046,31965
Stromae - Alors On Danse (Clip Officiel),202533507,60241
Mohombi - Bumpy Ride,197327965,47596
Miley Cyrus - Can't Be Tamed (Official Video),193391068,11338
HA-ASH - Qué hago Yo? (Video Oficial),191864278,22326
Phil Collins - In The Air Tonight (Official Music Video),191613550,77129
Ciara ft. Ludacris - Ride (Official Video),187433660,30171
Taio Cruz - Break Your Heart (Official Music Video) ft. Ludacris,187133440,34364
Taio Cruz - Dynamite (Official Music Video),185879533,19686
Heart - Alone (Official Video),185561737,275475
Sin Bandera - Mientes Tan Bien,184524199,60898
The Band Perry - If I Die Young (Official Video),184302819,34627
Shontelle - Impossible (Official Video),181109563,38386
The Catalyst (Official Video) - Linkin Park,180801470,40757
