artist,title,views,current avg/day
Luis Fonsi,"Aqui Estoy Yo (Video Oficial) ft. Aleks Syntek, Noel Schajris, David Bisbal",350443152,61162
P!nk,So What (Official Music Video),349393075,62408
Café Tacvba,Eres,349352931,66851
Bryan Adams,Please Forgive Me,348344926,201733
Radiohead,Creep,347251269,163864
Owl City,Fireflies,343942896,85324
Michael Jackson,Remember The Time (Official Video),342394397,146016
Kings Of Leon,Sex on Fire (Official Music Video),342187967,83612
Lil Wayne,Lollipop (Official Music Video) ft. Static,341122110,116141
Kanye West,Stronger,339735767,71299
Justin Timberlake,Cry Me A River (Official),339287092,95654
Nirvana,Come As You Are,338391596,90234
Rihanna,Rehab ft. Justin Timberlake,336577680,69444
Reyli Barba,Amor del Bueno (Video),334060007,44520
Michael Jackson,The Way You Make Me Feel (Official Video),333089890,95285
Eminem,Sing For The Moment,332351969,59172
Slipknot,Psychosocial [OFFICIAL VIDEO],330690609,125367
U2,With Or Without You (Official Video),330190915,28893
Selena Gomez & The Scene,Naturally,328037990,30299
Akon,Don't Matter (Official Video),327303996,101490
"Christina Aguilera, Lil' Kim, Mya, Pink",Lady Marmalade (Official Music Video),322714439,96245
50 Cent ft. Nate Dogg,21 Questions (Official Video),322447018,135546
La Factoria,Perdoname ft. Eddy Lover,322272024,122135
Bloodhound Gang,The Bad Touch (Official Video),320913987,75964
Dil Laga Liya,Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,319009316,816700
System Of A Down,B.Y.O.B. (Official Video),314497440,81505
Michael Jackson - Black Or White (Official Video - Shortened Version),error,314468970,99617
50 Cent,Just A Lil Bit (Official Video),314137402,125493
Vanilla Ice,Ice Ice Baby (Official Video),309909898,90098
Wham!,Wake Me Up Before You Go-Go (Official Video),308057934,87943
Michael Jackson,Bad (Shortened Version),307269187,98719
Justin Timberlake,What Goes Around...Comes Around,306813965,70936
Metallica,The Unforgiven (Video),305503338,119009
Bee Gees,How Deep Is Your Love (1977),303798428,132176
Nelly Furtado,Promiscuous ft. Timbaland (Official Music Video),303328367,108228
Marc Anthony,Valio La Pena (Salsa Version),302755284,46020
Christina Aguilera,Pero Me Acuerdo De Tí (Official Music Video),301339296,69781
Timbaland,"The Way I Are ft. Keri Hilson, D.O.E., Sebastian (Official Music Video)",298663754,129043
Paramore: Decode [OFFICIAL VIDEO],error,297933866,129878
Rihanna,Hate That I Love You ft. Ne-Yo,296566662,50175
Panic! At The Disco: I Write Sins Not Tragedies [OFFICIAL VIDEO],error,294562118,78119
Ne-Yo,Miss Independent (Official Music Video),293727027,69113
"Timbaland, OneRepublic",Apologize (Official Music Video) ft. OneRepublic,293391719,109173
Akon,"Sorry, Blame It On Me (Official Video)",292171667,52325
Eros Ramazzotti,La Cosa Mas Bella (Più Bella Cosa) (videoclip),289551382,92181
Skillet,Monster (Official Video),288930290,97546
Nirvana,The Man Who Sold The World (MTV Unplugged),285773578,98790
Luis Miguel,"""Ahora te puedes marchar"" (Video Oficial)",283404932,265816
The White Stripes,'Seven Nation Army',283286497,142617
3 Doors Down,Kryptonite (Official Video),282898303,76846
Ricky Martin,Livin' La Vida Loca (Official Music Video),281382498,88245
Lady Gaga,Just Dance (Official Music Video) ft. Colby O'Donis,280535267,81077
Aventura,Por Un Segundo,280269614,48299
Modern Talking,Cheri Cheri Lady (Official Music Video),280154185,111067
Chris Brown,Kiss Kiss ft. T-Pain,278553408,62521
Pitbull,I Know You Want Me (Calle Ocho) OFFICIAL VIDEO (Ultra Music),278305941,14843
Eminem,Stan (Long Version) ft. Dido,277840275,126031
Savage Garden,Truly Madly Deeply (Official Video),275711787,92577
Aventura,La Boda,275047204,119484
Chayanne,Un Siglo Sin Ti (Video Oficial),273960290,77460
Miley Cyrus,7 Things (Official Music Video),271078056,17077
Eminem,Cleanin' Out My Closet (Official Video),270925093,53557
Shakira,She Wolf,270061020,92395
Richard Marx,Right Here Waiting (Official Video),267946599,90223
Smash Mouth,All Star (Official Music Video),267686668,144898
Lou Bega,Mambo No. 5 (A Little Bit of...) (Official Video),266948520,107986
Mariah Carey,Without You (Official Video),266139188,95093
Crawling (Official Video),Linkin Park,265501950,76573
Jason Derulo,Whatcha Say (Video),265268784,40981
Britney Spears,Womanizer (Director's Cut) [Official Music Video],263493055,112584
The Script,The Man Who Can’t Be Moved (Official Video),262896087,46796
Faint (Official Video),Linkin Park,261227217,111249
Roxette,Listen To Your Heart (Official Music Video),260851207,137404
System Of A Down,Aerials,259237603,88085
"Drake, Kanye West, Lil Wayne, Eminem",Forever (Explicit Version),259226352,60415
Young Money,Bed Rock (Official Music Video),259171202,48173
Don Omar,Virtual Diva,258322551,102462
"Jordin Sparks, Chris Brown",No Air (Official Video) ft. Chris Brown,256680623,86095
"Akon ft. Colby O'Donis, Kardinal Offishall",Beautiful (Official Video),256176489,87324
Three Days Grace,I Hate Everything About You,255462289,53605
Green Day,21 Guns [Official Music Video],255190003,116530
Oasis - Wonderwall - Official Video,error,255105451,26956
50 Cent,Many Men (Wish Death) (Dirty Version) [Official Video],254984639,90041
Madonna,La Isla Bonita (Official Music Video),254614916,506794
Rihanna,Russian Roulette,254553006,23445
Calle 13,Atrevete te te (Explicit),252024747,93587
Bon Jovi,You Give Love A Bad Name (Official Music Video),251543506,87264
Pitbull,Hotel Room Service (Official Video),251494846,46979
Gummibär - CHO KA KA O - French music video,error,250306386,31148
Basshunter : Now You're Gone,error,249904432,40776
Slipknot,Duality [OFFICIAL VIDEO],249274184,88462
LMFAO ft. Lil Jon,Shots (Official Video),246550433,23257
Britney Spears,Oops!...I Did It Again (Official Video),246420324,67131
blink-182,I Miss You (Official Video),246402811,61229
Jay Sean,Down ft. Lil Wayne,246185131,44576
Eminem,Just Lose It (Official Music Video),245978824,35654
Kanye West,Gold Digger ft. Jamie Foxx,244552950,71322
Girls' Generation 소녀시대 'Gee' MV,error,244361751,53725
Shaggy,Angel ft. Rayvon (Official Music Video),244261450,109155
blink-182,All The Small Things (Official Video),243143554,65040
Keane,Somewhere Only We Know (Official Video),243137524,91633
Amy Winehouse,You Know I'm No Good,242516610,55406
Vanessa Carlton,A Thousand Miles (Official Video),242485751,70449
Lady Gaga,Paparazzi (Official Music Video),242225230,49148
Enrique Iglesias,Nunca Te Olvidaré,241921988,91066
Mariah Carey,Hero (Official Video),240629893,78003
Aerosmith,Cryin' (Official Music Video),239532968,52770
Amy Winehouse,Rehab,239325317,56816
Imran Khan,Amplifier (Official Music Video),238838920,409335
Michael Jackson,Earth Song (Official Video),238482772,120439
Kings Of Leon,Use Somebody (Official Music Video),237590366,46678
Michael Jackson,Don’t Stop 'Til You Get Enough (Official Video),236625539,79924
System Of A Down,Lonely Day (Official Video),236600260,60992
Chris Brown,Forever (Official Music Video),236172021,49169
Son By Four,A Puro Dolor (Video),234473573,83017
Train,"Hey, Soul Sister (Official Music Video)",234042872,63213
Destiny's Child,Say My Name (Official Video),230742152,88038
The Pussycat Dolls,Don't Cha ft. Busta Rhymes (Official Video),230696156,82959
The Cranberries,Linger (Official Music Video),229759901,69037
Fergie,Big Girls Don't Cry (Personal) (Official Music Video),228534509,122329
Leona Lewis,Bleeding Love (US Version),227199854,83079
Snow Patrol,Chasing Cars,226006580,63161
"Keri Hilsonft. Kanye West, Ne-Yo",Knock You Down (Official Video),224995382,67244
Marc Anthony,Ahora Quien (Salsa Version),224946211,83337
Armin van Buuren feat. Sharon den Adel,In And Out Of Love (Official Music Video),224816097,31550
Red Hot Chili Peppers,Dani California [Official Music Video],222317293,107149
Akon ft. Snoop Dogg,I Wanna Love You (Official Video),221249273,97112
Seether,Broken ft. Amy Lee (Official Music Video),221188663,80961
Madonna,Hung Up (Official Music Video),220530944,177176
Luis Fonsi,No Me Doy Por Vencido (Official Music Video),218825814,30939
Sean Paul,Temperature (Official Video),218759146,107315
Breaking The Habit (Official Video),Linkin Park,217956412,84166
Christina Aguilera,Candyman (Official Music Video),216610845,32772
*NSYNC,Bye Bye Bye,216156820,72901
Shania Twain,From This Moment On (Official Music Video),215805639,56233
Andy & Lucas,Tanto La Queria (Videoclip),215696698,57416
The Game,My Life ft. Lil Wayne (Official Music Video),214796679,30173
Soulja Boy Tell'em ft. Sammie,Kiss Me Thru The Phone (Official Video),214205575,49532
Green Day,Basket Case [Official Music Video],212893798,84746
The Pussycat Dolls,When I Grow Up (Official Video),212852004,27436
Eminem,We Made You (Official Video),212516959,21622
R. Kelly,Ignition (Remix) (Official Music Video),211379633,53390
Scorpions,Send Me An Angel (Official Music Video),211275247,61736
Ne-Yo,So Sick (Official Music Video),210522431,58163
Ciara,Like A Boy (Official Video),210407397,59226
Usher,Burn (Official Music Video),210224697,50278
Sean Paul,Give It Up To Me (feat. Keyshia Cole) [Disney Version] (Official Video),210111416,49489
Westlife,My Love (Official Video),209411085,77931
Ja Rule ft. Ashanti,Always On Time (Official Video),209061542,78397
Usher,U Got It Bad (Official Music Video),208840991,69933
"Blackstreet ft. Dr. Dre, Queen Pen",No Diggity (Official Video),207608044,80455
Michael Jackson,You Are Not Alone (Official Video),207545528,75344
Aventura,Su Veneno (Version Bachata),207535562,34286
Queen,We Are The Champions (Official Video),206496604,75380
Warren G,Regulate ft. Nate Dogg (Official Video),206214634,51991
Eiffel 65,Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),205032993,94747
Red Hot Chili Peppers,Can't Stop [Official Music Video],204739490,147180
t.A.T.u.,All The Things She Said,204459019,63236
Daft Punk,One More Time (Official Video),204391416,150865
The Black Eyed Peas,Shut Up (Official Music Video),204333449,56832
Alicia Keys,If I Ain't Got You (Official Music Video),203963729,83965
Reik,Yo Quisiera (Video),201659082,54891
Chayanne,Dejaría Todo,200358828,65018
"Bryan Adams - (Everything I Do) I Do It For You, LIVE - SPECIAL EDIT",error,200279221,211704
Gwen Stefani,Hollaback Girl (Official Music Video),198442598,59230
Village People,YMCA OFFICIAL Music Video 1978,197659195,58367
Kid Cudi,Pursuit Of Happiness ft. MGMT,197468066,38605
T.I.,Whatever You Like [Official Video],196492029,34757
Julieta Venegas,Me Voy (Video Oficial),196438115,62169
Christina Aguilera,Hurt (Official Music Video),196149417,38479
Shania Twain,Man! I Feel Like A Woman (Official Music Video),195133989,103907
Shakira,"Te Aviso, Te Anuncio (Tango)",195046732,80106
Modern Talking,Brother Louie (Official Music Video),194711136,64730
Maroon 5,Won't Go Home Without You (Official Music Video),194603458,47857
Hinder,Lips Of An Angel (Official Video),194563516,47276
Three Days Grace,Never Too Late (Official Music Video),192939244,44488
Justin Timberlake,SexyBack ft. Timbaland (Director's Cut),192671620,65006
The Fray,How to Save a Life (New Video Version),192610015,49535
Camila,Todo Cambio (Official Video),192078904,33022
Train,Drops of Jupiter (Official Music Video),191722051,48259
"The Game, 50 Cent",Hate It Or Love It (Official Music Video),191670832,42424
Michael Jackson,Rock With You (Official Video),191544301,63123
Beyoncé,Diva,191190090,24724
Alicia Keys,Fallin' (Official Music Video),191160248,89254
Mary J. Blige,Family Affair (Official Music Video),190883205,124860
Abba,Mamma Mia (Official Video),190406821,54584
Don Omar,Salio El Sol,190068901,87078
Selena Gomez,Tell Me Something I Don't Know,189924300,16856
Thalia,No Me Ensenaste (Video Oficial),189911092,41409
Enrique Iglesias,Takin' Back My Love feat. Ciara,188666210,47121
Aventura,Los Infieles,188351399,94844
Natalie Imbruglia,Torn (Official Video),187457718,40740
Mariah Carey,Touch My Body (Official Video),187343086,26165
"Mariah Carey, Boyz II Men",One Sweet Day,187315326,73455
Nickelback,Photograph,187124795,50743
Rod Stewart,Have You Ever Seen The Rain (Official Music Video),187098294,76179
Bon Jovi,I'll Be There For You (Official Music Video),186713592,57461
Blondie,Heart Of Glass (Official Music Video),186350239,100327
Muse,Uprising [Official Video],185570575,60546
Leona Lewis,Bleeding Love,185416737,18964
Maroon 5,This Love (Official Music Video),185398428,66985
Eminem,My Name Is (Official Music Video),185120724,32459
Paramore: Misery Business [OFFICIAL VIDEO],error,184280675,48111
T-Pain,Bartender ft. Akon (Official Music Video),183223880,63543
Alien Ant Farm,Smooth Criminal,182922077,76095
Alice Cooper,Poison (Official Video),181569842,63954
Kool & The Gang,Celebration (Official Video),180871563,53083
Vanessa Hudgens,Say Ok (Official Music Video),180838813,9376
Creed,One Last Breath (Official Video),180737002,78266
Nickelback,Rockstar [OFFICIAL VIDEO],179930820,89861
Ciara ft. Missy Elliott,"1, 2 Step (Official Video)",179689638,74419
Rihanna,Disturbia,178822515,40993
K-Ci & JoJo,All My Life (Official Video),178351367,75575
Katy Perry,I Kissed A Girl (Official),178344946,62764
Taylor Swift,Our Song,178016825,21474
Fergie,Fergalicious (Official Music Video),177917666,47227
Slipknot,Before I Forget [OFFICIAL VIDEO],177692251,60933
Bon Jovi,Bed Of Roses (Official Music Video),177254896,73579
Britney Spears,Gimme More,176682597,64826
Red Hot Chili Peppers,Snow (Hey Oh) (Official Music Video),176681435,126966
Chris Brown,Say Goodbye (Video Edit),176639113,53749
Nirvana,Heart-Shaped Box,176275298,47996
Depeche Mode,Enjoy The Silence (Official Video),175193927,119123
Korn,Freak On a Leash (AC3 Stereo) (Official Music Video),175189727,50940
Beyoncé,Sweet Dreams,174646927,29341
OutKast,Ms. Jackson (Official Video),174572921,138477
Marilyn Manson,The Beautiful People (Official Video),174529978,65800
Camila,Coleccionista De Canciones (Official Video),173958343,59770
Foo Fighters,Best Of You (Official Music Video),173909436,46083
Jizz In My Pants,error,172876146,3446
Dido,Thank You (Official Music Video),172845862,55947
Lady Gaga,LoveGame (Official Music Video),172323876,37037
Nirvana,Lithium,172148590,44474
Whitney Houston,I Look to You (Official Music Video),172012380,49255
Darude,Sandstorm,171115757,64746
Pose,Daddy Yankee (Official Cartel version),171082458,46379
La 5a Estación,El Sol No Regresa,170796141,59591
T.I.,Live Your Life ft. Rihanna [Official Video],170657807,72300
Red Hot Chili Peppers,Under The Bridge [Official Music Video],170522234,69804
La Ley,Mentira (Video Oficial),169514671,43511
Like A Boss (ft. Seth Rogen),Uncensored Version,169012113,11627
M.I.A.,Paper Planes (Official Music Video),168981484,58925
Bee Gees,Too Much Heaven (1979),168976457,65133
Counting Crows,Mr. Jones (Official Video),168922829,64362
Somewhere I Belong (Official Video),Linkin Park,168784251,93955
Britney Spears,Circus,168496380,31977
Aerosmith,Amazing (Official Music Video),168329031,54241
Replay (Prequel) [Music Video],Iyaz,168039477,51771
Whitney Houston,I Wanna Dance With Somebody,167661718,65793
Afroman,Because I Got High (Official Video),167399338,47466
Nickelback,Far Away [OFFICIAL VIDEO],167385574,39339
Ne-Yo,Mad (Official Music Video),167367443,52118
Reik,Noviembre Sin Ti (Video),167354277,27736
ADELE,'Make You Feel My Love',166767435,27692
Foo Fighters,Everlong (Official Music Video),166460592,44950
Mariah Carey,Always Be My Baby (Official Music Video),166419382,66912
Kanye West,Heartless,166168332,17468
Ne-Yo,Because Of You (Official Music Video),165824094,45120
Lenny Kravitz,Again (Official Music Video),165272879,70425
Leona Lewis,Better In Time,165060264,48052
Bruce Springsteen,Dancing In the Dark,165044423,111086
Keane,Everybody's Changing (Official Video),164837099,68703
Britney Spears,Sometimes,164718698,53412
Maroon 5,Sunday Morning (Official Music Video),164053262,35570
Kid Cudi vs. Crookers,Day 'n' Night (Official Video),163960487,11754
Queen,"Killer Queen (Top Of The Pops, 1974)",163932446,83310
Céline Dion,That's The Way It Is (Official Music Video),163842200,54606
The Killers,Somebody Told Me (Official Music Video),162914203,28935
Queen,Radio Ga Ga (Official Video),162748652,152396
Bryan Adams,Heaven (Official Music Video),160884431,85343
Mary J. Blige,Be Without You (Official Music Video),160551146,91658
Enrique Iglesias,Lloro Por Ti ft. Wisin & Yandel (Remix),160505203,14851
Snoop Dogg,Drop It Like It's Hot (Official Music Video) ft. Pharrell Williams,160345090,50370
The Black Eyed Peas,Let's Get It Started (Official Music Video),160038180,48038
Jennifer Lopez ft. Ja Rule,I'm Real (Remix) [Official Video],159901112,127302
Chris Brown,Gimme That (Remix) (Official Music Video) ft. Lil Wayne,159803314,45361
Abba,Gimme! Gimme! Gimme! (A Man After Midnight),159772269,85905
Michael Jackson,You Rock My World (Official Video),159730959,35082
Audioslave,Be Yourself (Official Music Video),159621931,74396
Jeremih,Birthday Sex (Official Music Video),158896089,75970
Queen,Under Pressure (Official Video),157547966,63606
Breaking Benjamin,The Diary of Jane (Official Video),157524616,71256
Bullet For My Valentine - Tears Don't Fall (Album Edit - with Scream / with Lighter),error,157321882,43371
Evanescence,Going Under (Official Music Video),157132099,52562
Jeff Buckley,Hallelujah (Official Video),156879679,36052
Whitney Houston,Run To You,156549285,46401
Daniel Powter,Bad Day (Official Music Video),156426249,62184
Sum 41,In Too Deep (Official Music Video),155817376,37163
Green Day,Wake Me Up When September Ends [Official Music Video],155738313,39179
Paramore: That's What You Get [OFFICIAL VIDEO],error,154503612,53237
Sting,Desert Rose (Official Video),153983791,82747
"A.R. Rahman, The Pussycat Dolls",Jai Ho (You Are My Destiny) ft. Nicole Scherzinger,153973037,56533
Enrique Iglesias,Quizás,152620097,38670
Eminem,The Way I Am (Official Video),152528624,31701
The Pussycat Dolls ft. Avant,Stickwitu (Official Video),152211147,60233
Chayanne,Y Tú Te Vas (Video Oficial),151890748,42738
The Cranberries,Dreams (Official Music Video),151706321,45178
Midnight Oil,Beds Are Burning,151363262,47233
Limp Bizkit,Rollin' (Official Video),150754266,78511
Papercut (Official Video),Linkin Park,150666632,86939
Jason Mraz,Lucky (feat. Colbie Caillat) [Official Video],150254366,33278
Leonard Cohen,Hallelujah (Live In London),150218242,40856
Adele,Chasing Pavements,150074380,21060
Marco Antonio Solís,Sigue Sin Mi,150063520,46261
Wisin & Yandel,Dime Que Te Pasó,149989101,23669
The Pussycat Dolls,Hush Hush; Hush Hush (Official Music Video),149914155,34043
System Of A Down,Hypnotize (Video),149800927,28002
Three Days Grace,Pain (Official Music Video),149681107,29456
Taylor Swift,Fifteen,149629896,12685
Boyz II Men,End Of The Road (Official Music Video),149623944,80448
Michael Jackson,Heal The World (Official Video),149315708,43441
"Daddy Yankee ""Llamado De Emergencia"" Soundtrack Talento de Barrio © El Cartel Records",error,149202605,50333
David Guetta Feat. Kelly Rowland,When Love Takes Over (Official Video),149107220,35137
Mana,Labios Compartidos (Video Oficial),148623464,51107
Metallica: One (Official Music Video),error,148176371,123081
Jennifer Lopez,All I Have (Video) ft. LL Cool J,148140735,173851
The Strokes,Reptilia (Official Music Video),148079302,39014
Rihanna,Hard ft. Jeezy,147437561,14311
Ricky Martin,María (Spanglish Video Remastered),147317502,41868
Céline Dion,A New Day Has Come (Official Video),147290578,46113
Lifehouse,You And Me (Official Video),147166324,30754
Creed,My Sacrifice (Official Video),147142161,62741
Mariah Carey,I Want To Know What Love Is (Official Video),147049120,38743
Beyoncé,Upgrade U (Video) ft. Jay-Z,146989155,45812
Maroon 5,Makes Me Wonder (Official Music Video),146809167,17131
Eve ft. Gwen Stefani,Let Me Blow Ya Mind (Official Video),146464984,100923
Shakira,Las de la Intuición,146213399,80484
Red Hot Chili Peppers,By The Way [Official Music Video],145937866,48323
50 Cent,Window Shopper,145936045,46891
blink-182,First Date,145842000,40292
Usher,"Confessions, Pt. II",145827715,36881
Taylor Swift,White Horse,145730452,12379
Queen,Crazy Little Thing Called Love (Official Video),145653122,52332
Three Days Grace,Animal I Have Become (Official Music Video),145538013,32162
Franco de Vita,Si la Ves (Official Video),145418382,37803
Mariah Carey,My All,144714438,44597
Sugarland,Stay (Official Video),144683492,42192
Fergie,Glamorous (Official Music Video) ft. Ludacris,144534265,35903
Leave Out All The Rest (Official Video),Linkin Park,144518624,64874
Taylor Swift,Teardrops On My Guitar,144490069,21219
Grupo Revelação,Tá Escrito (Ao Vivo no Morro),144336190,102071
Europe,Carrie (Official Video),143709719,40673
Christina Aguilera,Genie In A Bottle (Official Music Video),142782597,52042
The Script,Breakeven (Official Video),142752699,22291
Kardinal Offishall,Dangerous ft. Akon (Official Music Video),142751922,61357
Nickelback,Savin' Me,142519713,47093
