decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2010s","46","Maroon 5 & Christina Aguilera","Moves Like Jagger","17394.4841283015","1","2","2","3","1","2"
"2010s","47","Shawn Mendes & Camila Cabello","Senorita","17165.868195935","1","1","1","2","1","1"
"2010s","48","French Montana & Swae Lee","Unforgettable","17065.4040839463","3","2","6","9","3","7"
"2010s","49","Meghan Trainor","All About That Bass","16992.1593107953","1","1","1","8","1","1"
"2010s","50","Twenty One Pilots","Stressed Out","16918.8604562128","2","12","3","2","3","2"
"2010s","51","The Chainsmokers & Coldplay","Something Just Like This","16874.9626743137","3","2","4","6","3","2"
"2010s","52","Wiz Khalifa & Charlie Puth","See You Again","16868.6849140937","1","1","1","2","1","1"
"2010s","53","Sam Smith","Stay With Me","16859.4692917041","2","1","11","6","1","5"
"2010s","54","Post Malone","Wow.","16843.0339797423","2","3","16","113","3","2"
"2010s","55","Rihanna & Calvin Harris","We Found Love","16746.0699454435","1","1","1","1","1","2"
"2010s","56","Jonas Brothers","Sucker","16459.0204013083","1","4","20","40","1","1"
"2010s","57","Macklemore & Ryan Lewis","Thrift Shop","16444.6194710398","1","1","2","1","1","1"
"2010s","58","Ed Sheeran & Justin Bieber","I Don't Care","16421.3786164981","2","1","2","5","2","1"
"2010s","59","Taylor Swift","Shake It Off","16206.2481210247","1","2","5","6","1","1"
"2010s","60","Dua Lipa","New Rules","16155.4509128618","6","1","9","45","7","2"
"2010s","61","Katy Perry","Dark Horse","16154.2561655252","1","4","6","6","1","-"
"2010s","62","Ariana Grande","7 Rings","16101.776371718","1","1","4","2","1","1"
"2010s","63","Passenger","Let Her Go","16020.0598538675","5","2","1","6","5","1"
"2010s","64","Shawn Mendes","Stitches","15964.499973316","4","1","2","86","10","4"
"2010s","65","Pitbull, Ne-Yo, Afrojack & Nayer","Give Me Everything","15941.0067445821","1","1","2","2","1","2"
"2010s","66","The Weeknd","The Hills","15934.9165980603","1","3","10","11","1","3"
"2010s","67","Portugal, The Man","Feel It Still","15813.2965215003","4","3","7","3","8","5"
"2010s","68","Adele","Hello","15453.5279192973","1","1","1","1","1","1"
"2010s","69","Imagine Dragons","Believer","15340.5662002578","4","42","23","7","7","33"
"2010s","70","The Weeknd & Daft Punk","Starboy","15255.57503958","1","2","3","1","1","2"
"2010s","71","Daft Punk & Pharrell Williams","Get Lucky","15148.40818962","2","1","1","1","2","1"
"2010s","72","Juice WRLD","Lucid Dreams (Forget Me)","15098.2705506718","2","10","36","93","4","8"
"2010s","73","Bruno Mars","That's What I Like","15070.6693967638","1","12","51","42","3","5"
"2010s","74","DJ Snake & Justin Bieber","Let Me Love You","15057.6448367856","4","2","1","1","4","2"
"2010s","75","Sam Smith & Normani","Dancing With A Stranger","15057.398864713","7","3","37","37","8","6"
"2010s","76","Lukas Graham","Seven Years","15031.2980846779","2","1","6","5","1","1"
"2010s","77","Macklemore & Ryan Lewis","Can't Hold Us","14908.9429492965","1","3","2","3","2","1"
"2010s","78","Bebe Rexha & Florida Georgia Line","Meant To Be","14901.5488387432","2","11","57","-","7","2"
"2010s","79","Twenty One Pilots","Heathens","14817.2357981008","2","5","9","4","3","3"
"2010s","80","Justin Bieber","What Do You Mean?","14789.3283750307","1","1","4","3","1","1"
"2010s","81","Psy","Gangnam Style","14676.9477478198","2","1","1","1","1","1"
"2010s","82","Rihanna","Diamonds","14633.1179012834","1","1","1","1","1","6"
"2010s","83","James Arthur","Say You Won't Let Go","14577.5214437406","11","1","6","21","9","1"
"2010s","84","Mike Posner","I Took A Pill In Ibiza","14513.5986761096","4","1","5","6","2","5"
"2010s","85","The Weeknd","Can't Feel My Face","14501.8404428265","1","3","14","5","1","2"
"2010s","86","The Lumineers","Ho Hey","14487.4925540641","3","8","5","6","2","3"
"2010s","87","Khalid","Talk","14441.5585285935","3","9","96","109","14","4"
"2010s","88","LMFAO","Sexy And I Know It","14356.243222715","1","5","8","3","1","1"
"2010s","89","Bruno Mars","Just The Way You Are (Amazing)","14342.2760209513","1","1","2","33","1","1"
"2010s","90","Adele","Set Fire To The Rain","14317.2500589266","1","11","6","9","2","11"
"2010s","91","Pitbull & Ke$ha","Timber","14290.5095114785","1","1","1","8","1","4"
"2010s","92","David Guetta & Sia","Titanium","14207.527742244","7","1","5","3","7","5"
"2010s","93","Mariah Carey","All I Want For Christmas Is You","14181.1697249895","3","2","2","1","1","1"
"2010s","94","5 Seconds of Summer","Youngblood","14138.791794845","7","4","45","194","3","1"
"2010s","95","Ellie Goulding","Love Me Like You Do","14006.4051942974","3","1","1","5","3","1"
"2010s","96","Rihanna & Calvin Harris","This Is What You Came For","13942.405127065","3","2","5","5","1","1"
"2010s","97","Walk the Moon","Shut Up & Dance","13910.6910102682","4","4","10","28","4","3"
"2010s","98","Rihanna & Drake","Work","13805.3046068938","1","2","5","1","1","5"
"2010s","99","Jennifer Lopez & Pitbull","On The Floor","13772.8725288054","3","1","1","1","1","1"
"2010s","100","Bruno Mars","Locked Out Of Heaven","13734.9658986115","1","2","7","3","1","4"
"2010s","101","Bastille","Pompeii","13654.8194577654","5","2","6","96","6","4"
"2010s","102","Lizzo","Truth Hurts","13480.0645430998","1","29","-","-","7","15"
"2010s","103","Charlie Puth","Attention","13471.9407760327","5","9","9","3","6","10"
"2010s","104","Clean Bandit & Jess Glynne","Rather Be","13445.7901722708","10","1","1","2","13","2"
"2010s","105","Clean Bandit, Sean Paul & Anne-Marie","Rockabye","13431.7603236978","9","1","1","4","4","1"
"2010s","106","Katy Perry","Roar","13425.6587538502","1","1","2","5","1","1"
"2010s","107","Post Malone & Ty Dolla Sign","Psycho","13414.4944689006","1","4","6","102","1","1"
"2010s","108","Calvin Harris & Dua Lipa","One Kiss","13249.2562447728","26","1","1","2","7","3"
"2010s","109","Bruno Mars","Grenade","13206.9288648746","1","1","1","7","1","1"
"2010s","110","Lorde","Royals","13191.873880214","1","1","8","4","1","-"
"2010s","111","Fetty Wap","Trap Queen","13085.1338931791","2","8","77","17","11","25"
"2010s","112","Zedd, Maren Morris & Grey","The Middle","12957.2363439329","5","7","15","68","6","7"
"2010s","113","Katy Perry","Firework","12890.918650224","1","3","4","7","1","3"
"2010s","114","Taio Cruz","Dynamite","12861.6859727295","2","1","3","5","1","1"
"2010s","115","Rihanna & Eminem","Love The Way You Lie","12767.8371155646","1","2","1","3","1","1"
"2010s","116","Pink & Nate Ruess","Just Give Me A Reason","12738.4397115629","1","2","1","4","1","1"
"2010s","117","Bruno Mars","24K Magic","12720.9551823671","4","5","14","1","3","3"
"2010s","118","Ed Sheeran","Photograph","12703.0343552033","10","15","4","9","4","9"
"2010s","119","fun.","We Are Young","12680.0763519976","1","1","4","7","1","1"
"2010s","120","Desiigner","Panda","12628.3411494769","1","7","13","16","4","7"
"2010s","121","will.i.am & Britney Spears","Scream & Shout","12482.984717122","3","1","1","1","1","2"
"2010s","122","Maroon 5","Sugar","12437.3292091365","2","7","41","15","2","6"
"2010s","123","Drake","Hotline Bling","12436.7372451937","2","3","18","9","3","2"
"2010s","124","Major Lazer, Justin Bieber & MO","Cold Water","12345.0029528183","2","1","2","2","1","1"
"2010s","125","Shawn Mendes","Treat You Better","12303.83334723","6","6","4","39","7","4"
"2010s","126","DNCE","Cake By The Ocean","12273.1732619544","9","4","6","23","7","6"
"2010s","127","Khalid & Normani","Love Lies","12116.4901213695","9","12","36","-","21","3"
"2010s","128","Imagine Dragons","Demons","12115.4862674306","6","13","15","15","4","11"
"2010s","129","Rihanna","Only Girl (In The World)","12088.6852196514","1","1","2","2","1","1"
"2010s","130","Fifth Harmony & Ty Dolla Sign","Work From Home","12030.8414837333","4","2","7","17","4","3"
"2010s","131","Magic!","Rude","12009.9417394162","1","1","7","51","6","2"
"2010s","132","Shawn Mendes","There's Nothing Holdin' Me Back","12001.1360944732","6","4","5","17","6","4"
"2010s","133","Mr Probz","Waves","11994.7774613568","14","1","1","3","10","3"
"2010s","134","Ed Sheeran","Castle On The Hill","11986.0084084501","6","2","2","3","2","2"
"2010s","135","Jason Derulo","Want To Want Me","11984.4701411429","5","1","2","6","5","4"
"2010s","136","Marshmello & Anne-Marie","Friends","11951.2676694584","11","4","1","29","5","4"
"2010s","137","Ke$ha","Tik-Toc","11869.9362385574","1","4","1","1","1","1"
"2010s","138","Kygo & Selena Gomez","It Ain't Me","11865.6328819098","10","7","2","5","2","4"
"2010s","139","Flo-Rida","Good Feeling","11820.7291807113","3","1","1","3","2","4"
"2010s","140","Drake","In My Feelings","11752.5027663313","1","1","4","5","1","1"
"2010s","141","Ariana Grande","Thank U, Next","11621.9144042646","1","-","13","12","1","1"
"2010s","142","Kendrick Lamar","Humble","11402.2753971274","1","6","11","21","2","2"
"2010s","143","Justin Timberlake","Mirrors","11387.2110364805","2","1","2","15","4","10"
"2010s","144","XXXTentacion","Sad!","11384.2002574709","1","5","12","23","2","4"
"2010s","145","Rihanna & Mikky Ekko","Stay","11378.5993064132","3","4","2","2","1","4"
"2010s","146","Shakira & Freshly Ground","Waka Waka (This Time For Africa)","11294.3028987341","38","21","1","1","11","32"
"2010s","147","Taylor Swift","Blank Space","11235.4151562572","1","4","9","27","1","1"
"2010s","148","Drake","Nice For What","11216.23274603","1","1","9","28","1","1"
"2010s","149","Khalid","Better","11213.8401705003","8","15","49","185","14","6"
"2010s","150","The Weeknd","Earned It (Fifty Shades Of Grey)","11046.1003869799","3","4","17","2","8","13"
"2010s","151","Jason Derulo & 2 Chainz","Talk Dirty","11044.6943542772","3","1","1","3","3","1"
"2010s","152","Chris Brown & Drake","No Guidance","11018.188383153","5","6","63","118","7","7"
"2010s","153","Train","Hey, Soul Sister","10991.1206668678","3","18","7","15","3","1"
"2010s","154","Maroon 5","One More Night","10984.6841474095","1","8","17","9","2","2"
"2010s","155","fun.","Some Nights","10975.2769538792","3","7","25","37","4","1"
"2010s","156","Katy Perry & Snoop Dogg","California Gurls","10931.3449067497","1","1","3","5","1","1"
"2010s","157","G-Eazy & Bebe Rexha","Me, Myself & I","10857.575665241","7","13","7","9","9","19"
"2010s","158","The Weeknd & Daft Punk","I Feel It Coming","10851.5725288987","4","9","29","1","10","7"
"2010s","159","Ariana Grande","No Tears Left To Cry","10845.9434035784","3","2","2","4","2","1"
"2010s","160","Kungs & Cookin' On 3 Burners","This Girl","10845.6263649448","26","2","1","1","8","17"
"2010s","161","Foster the People","Pumped Up Kicks","10803.4062235508","3","18","9","10","3","1"
"2010s","162","Lady GaGa","Bad Romance","10802.7464776979","2","1","1","1","1","2"
"2010s","163","Post Malone & Quavo","Congratulations","10724.750120067","8","26","88","112","14","30"
"2010s","164","Maroon 5 & Wiz Khalifa","Payphone","10717.7030392906","2","1","4","8","1","2"
"2010s","165","Ed Sheeran & Khalid","Beautiful People","10700.0797485371","13","1","5","34","6","4"
"2010s","166","Rag'n'Bone Man","Human","10652.8093890419","74","2","1","2","53","17"
"2010s","167","Sam Smith","I'm Not The Only One","10582.2012244145","5","3","39","13","2","11"
"2010s","168","Miley Cyrus","Wrecking Ball","10572.063612359","1","1","6","2","1","2"
"2010s","169","Iggy Azalea & Charli XCX","Fancy","10549.0483785518","1","5","51","21","1","5"
"2010s","170","DJ Snake, Selena Gomez, Ozuna & Cardi B","Taki Taki","10512.0201196154","11","15","8","2","7","24"
"2010s","171","Rihanna & Eminem","The Monster","10509.9912386963","1","1","3","1","1","1"
"2010s","172","Zayn & Taylor Swift","I Don't Wanna Live Forever (Fifty Shades Darker)","10509.0696958634","2","5","2","4","2","3"
"2010s","173","Cee-Lo Green","F**k You/Forget You","10484.2768297063","2","1","11","84","7","5"
"2010s","174","Nico & Vinz","Am I Wrong","10454.3893275944","4","1","3","6","1","2"
"2010s","175","The Black Eyed Peas","I Gotta Feeling","10445.5222081018","9","14","11","15","7","10"
"2010s","176","DJ Khaled, Rihanna & Bryson Tiller","Wild Thoughts","10355.8867861984","2","1","4","2","2","2"
"2010s","177","DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne","I'm The One","10295.1595368728","1","1","4","11","1","1"
"2010s","178","Dynoro & Gigi D'Agostino","In My Mind","10228.7692159272","-","5","1","7","50","-"
"2010s","179","David Guetta & Usher","Without You","10211.7159818975","4","6","7","6","3","6"
"2010s","180","Nicki Minaj","Starships","10184.5179197098","5","2","17","5","4","2"
"2010s","181","Dean Lewis","Be Alright","10170.2070073009","23","11","8","34","27","1"
"2010s","182","Jessie J, Nicki Minaj & Ariana Grande","Bang Bang","10160.4040056905","3","1","13","47","3","4"
"2010s","183","Skrillex & Diplo","Where Are U Now","10116.1119013294","8","3","-","24","5","3"
"2010s","184","Avicii","Hey, Brother","10099.2893245592","16","2","1","4","10","2"
"2010s","185","Vance Joy","Riptide","10059.6260182385","30","10","9","65","13","6"
"2010s","186","Alan Walker","Faded","10057.5173355792","80","7","1","1","32","2"
"2010s","187","Cardi B","Bodak Yellow (Money Moves)","10048.6906876067","1","24","-","70","6","33"
"2010s","188","Sam Smith","Too Good At Goodbyes","9967.47744028662","4","1","18","6","2","1"
"2010s","189","Taylor Swift","I Knew You Were Trouble","9957.92516346681","2","2","9","14","2","3"
"2010s","190","Alex Clare","Too Close","9862.02965666843","7","4","1","9","14","-"
"2010s","191","Flo-Rida","Whistle","9850.31755906056","1","2","2","2","1","1"
"2010s","192","Bruno Mars","When I Was Your Man","9811.81768947588","1","2","23","9","3","6"
"2010s","193","Ellie Goulding","Burn","9794.72769735299","13","1","4","9","14","6"
"2010s","194","Future","Mask Off","9793.8918072289","5","22","12","16","5","13"
"2010s","195","Meek Mill & Drake","Going Bad","9789.30769505625","6","13","92","126","3","32"
"2010s","196","Capital Cities","Safe And Sound","9778.01883404703","8","42","1","15","5","16"
"2010s","197","Coldplay","Paradise","9767.74782284216","15","1","12","5","13","3"
"2010s","198","Martin Garrix","Animals","9721.73842500539","21","1","4","2","40","29"
"2010s","199","Twenty One Pilots","Ride","9720.92544398553","5","47","21","12","13","18"
"2010s","200","Usher & Pitbull","DJ Got Us Fallin' In Love","9700.60783496099","4","7","5","3","2","3"
