artist,title,musicChart,year/decade
Charlie Puth,Marvin Gaye,Spotify,2013-2020
Ariana Grande,One Last Time,Spotify,2013-2020
Dante Klein,Let Me Hold You (Turn Me On),Spotify,2013-2020
Kygo & Miguel,Remind Me to Forget,Spotify,2013-2020
Migos,Stir Fry,Spotify,2013-2020
Drake,Don’t Matter To Me,Spotify,2013-2020
Zion & Lennox,La Player (Bandolera),Spotify,2013-2020
Polo G,Pop Out,Spotify,2013-2020
"Nacho, Yandel, Bad Bunny",Báilame - Remix,Spotify,2013-2020
Rita Ora,Anywhere,Spotify,2013-2020
Dua Lipa & BLACKPINK,Kiss and Make Up,Spotify,2013-2020
Halsey,Now Or Never,Spotify,2013-2020
Kygo & Imagine Dragons,Born To Be Yours,Spotify,2013-2020
Shawn Mendes,Lost In Japan,Spotify,2013-2020
Kygo,First Time,Spotify,2013-2020
Childish Gambino,This Is America,Spotify,2013-2020
The Chainsmokers & Bebe Rexha,Call You Mine,Spotify,2013-2020
Rudimental,Lay It All on Me,Spotify,2013-2020
"David Guetta, Bebe Rexha & J Balvin",Say My Name,Spotify,2013-2020
Bebe Rexha,I'm a Mess,Spotify,2013-2020
A$AP Ferg,Plain Jane,Spotify,2013-2020
Post Malone,Go Flex,Spotify,2013-2020
OneRepublic,Rescue Me,Spotify,2013-2020
Selena Gomez,Bad Liar,Spotify,2013-2020
Piso 21,Te Vi,Spotify,2013-2020
Ava Max,So Am I,Spotify,2013-2020
Selena Gomez,Same Old Love,Spotify,2013-2020
Iggy Azalea & Charli XCX,Fancy,Spotify,2013-2020
Jonas Brothers,Only Human,Spotify,2013-2020
Aminé,Caroline,Spotify,2013-2020
Harry Styles,Lights Up,Spotify,2013-2020
Billie Eilish,you should see me in a crown,Spotify,2013-2020
Timeflies,Once In a While,Spotify,2013-2020
Lorde,Royals,Spotify,2013-2020
